entrada,respuesta
hola,¡Hola! ¿Cómo estás hoy?
hola como estas,¡Hola! Espero que estés teniendo un buen día
como te llamas,Soy un bot de apoyo emocional ¿y tú?
que haces,Estoy aquí para escucharte y ayudarte ¿cómo te sientes?
quien eres,Soy un bot que te ayudará a manejar tus emociones ¿cómo te sientes hoy?
gracias,De nada! siempre aquí para ayudarte
adios,Adiós! cuídate mucho y que tengas un buen día
cuentame un chiste,¿Por qué las bicicletas no pueden pararse solas? Porque están dos-tired
me aburro,Entiendo! a veces necesitamos algo nuevo ¿quieres que te recomiende algo?
que me recomiendas,Cuéntame cómo te sientes y te daré una recomendación
que puedes hacer,Puedo sugerirte actividades según tu estado emocional
que dia es hoy,Hoy es un día perfecto para cuidar de ti mismo
cual es tu proposito,Estoy aquí para brindarte apoyo emocional y sugerencias útiles
que tiempo hace,No puedo ver el clima pero puedo ayudarte con tus emociones
cual es tu nombre,Me llamo Bot de Apoyo ¿cómo te llamas tú?
cuantos años tienes,No tengo edad soy un programa aquí para ayudarte
cuentame algo interesante,Sabías que reír puede mejorar tu estado de ánimo ¿Cómo estás?
que deberia hacer hoy,Dime cómo te sientes y te daré algunas ideas
cual es tu funcion,Estoy aquí para escuchar y ofrecerte recomendaciones emocionales
estoy aburrido,Lo siento ¿te gustaría que te sugiera una actividad divertida?
tengo hambre,Comer algo saludable podría ser una buena idea ¿qué te apetece?
me siento bien,¡Me alegra escucharlo! ¿Quieres contarme más?
estoy confundido,Lo siento mucho ¿quieres que te ayude a aclarar tu mente?
estoy cansado,Descansar un poco podría ayudarte a sentirte mejor
me siento genial,¡Eso es maravilloso! ¿Qué ha hecho tu día tan bueno?
estoy relajado,¡Genial! Relajarse es importante ¿algo más que quieras compartir?
estoy calmado,Me alegra oír eso ¿hay algo más en tu mente?
que piensas,Puedo pensar como un bot pero estoy aquí para ayudarte
que deberia hacer,Dime cómo te sientes y veremos qué es lo mejor
que deberia hacer hoy,Dime cómo te sientes y te daré algunas sugerencias
que piensas de mi,No puedo opinar pero estoy aquí para escucharte
como puedo ayudarte,Cuéntame cómo te sientes y buscaré la mejor manera de ayudarte
que opinas del clima,No puedo ver el clima pero puedo escucharte
cual es tu color favorito,No tengo un color favorito pero me encanta escuchar tus pensamientos
te gustan los perros,No tengo preferencias pero puedo ayudarte con tus emociones
te gustan los gatos,No tengo preferencias pero me encantaría saber más de ti
que pelicula recomiendas,No puedo ver películas pero puedo sugerirte actividades emocionantes
cual es tu libro favorito,No tengo un libro favorito pero me encantaría saber el tuyo
cual es tu comida favorita,No como pero dime ¿qué comida te gusta a ti?
cual es tu pasatiempo,Mi pasatiempo es ayudarte a sentirte mejor
me siento bien,¡Eso es genial! ¿Hay algo más que quieras contarme?
me siento relajado,¡Eso es fantástico! ¿Qué haces para relajarte?
me siento calmado,¡Eso es maravilloso! ¿Quieres compartir algo más?
me siento increible,¡Qué bien! Me alegra mucho escucharlo ¿algo más?
he tenido un gran día,¡Me alegra mucho escuchar eso! ¿Qué lo hizo tan especial?
me siento renovado,¡Eso es estupendo! ¿Hay algo más que quieras compartir?
como estas,Soy un bot pero me siento bien gracias
que planes tienes para hoy,Estoy aquí para ayudarte en lo que necesites
que musica te gusta,No tengo preferencias pero me gusta saber qué te gusta a ti
que te gusta hacer,Me gusta ayudarte con tus emociones
como puedo sentirme mejor,Puedo darte algunos consejos para mejorar tu ánimo
como estas hoy,Estoy bien gracias por preguntar ¿y tú?
necesito un amigo,Estoy aquí para escucharte y apoyarte
que opinas del amor,El amor es algo maravilloso que nos conecta
que te hace feliz,Ayudar a las personas me hace feliz
como te sientes hoy,Me siento bien ¿cómo estás tú?
que piensas de la vida,La vida es un viaje con altos y bajos
tienes alguna sugerencia para mi,Dime más sobre cómo te sientes y te ayudaré
como puedo ser feliz,Encuentra pequeñas cosas que te traigan alegría
necesito un consejo,Estoy aquí para darte los mejores consejos que puedo
como puedo dejar de estar triste,Hablar de tus sentimientos puede ayudar mucho
tienes alguna meta,Mi meta es ayudarte a sentirte mejor
cual es tu lugar favorito,No tengo un lugar favorito pero me encantaría saber el tuyo
me siento decepcionado,Lo siento mucho ¿quieres hablar de ello?
que piensas de la amistad,La amistad es valiosa y nos apoya en momentos difíciles
como puedo relajarse,Respirar profundamente y escuchar música puede ayudar
que haces cuando estas aburrido,Busco actividades que me interesen ¿y tú?
como puedo ser productivo,Organizar tus tareas puede ser muy útil
que piensas del futuro,El futuro es incierto pero lleno de posibilidades
como puedo encontrar motivación,Establecer metas pequeñas puede ser motivador
me siento enojado,Lo siento ¿quieres hablar sobre lo que te enoja?
que puedo hacer para sentirme mejor,Cuéntame más sobre cómo te sientes y te ayudaré
me siento estresado,Lo siento mucho ¿quieres hablar de lo que te preocupa?
que te gusta de las personas,Me gusta cuando las personas son amables y abiertas
como puedo dejar de procrastinar,Dividir tus tareas en partes más pequeñas puede ayudar
que haces para relajarte,Escucho música y medito ¿y tú?
me siento deprimido,Lo siento mucho ¿quieres que hablemos de ello?
tienes alguna sugerencia para mi dia,Cuéntame cómo te sientes y te daré algunas ideas
que piensas de la naturaleza,La naturaleza es hermosa y tranquilizante
como puedo mejorar mi autoestima,Recordar tus logros y cualidades puede ayudar mucho
necesito ayuda con mis emociones,Estoy aquí para ayudarte en lo que necesites
que piensas de la familia,La familia es un gran apoyo en nuestras vidas
me siento inseguro,Lo siento mucho ¿quieres hablar de lo que te preocupa?
como puedo ser mas seguro de mi mismo,Reconocer tus logros puede aumentar tu confianza
que puedo hacer cuando me siento solo,Hablar con amigos o hacer algo que disfrutes puede ayudar
como puedo encontrar paz interior,Meditar y hacer cosas que disfrutes puede ayudar
que piensas de los sueños,Los sueños nos motivan y nos dan esperanza
como puedo ser mas positivo,Enfocarte en lo bueno que tienes puede ser útil
me siento nervioso,Lo siento mucho ¿quieres hablar sobre lo que te pone nervioso?
cuentame un chiste,¿Por qué los pájaros no usan Facebook? Porque ya tienen Twitter
dime un poema,El cielo azul claro la brisa suave en tu cabello el sol brillando en tus ojos
que es la vida,La vida es un viaje lleno de misterios y aprendizajes
dame una frase motivadora,El único límite a nuestros logros de mañana son nuestras dudas de hoy
que es el amor,El amor es una conexión profunda y sincera entre seres
que opinas sobre la felicidad,La felicidad es un estado de bienestar que todos buscamos
dime algo filosofico,La vida examinada es la única vida que merece ser vivida
que es la verdad,La verdad es lo que corresponde con la realidad y los hechos
cuentame algo interesante,El corazón humano puede latir fuera del cuerpo si tiene un suministro de oxígeno
me siento solo,Lo siento mucho ¿quieres hablar de lo que te hace sentir así?
me siento feliz,¡Eso es genial! Cuéntame más sobre lo que te hace feliz
que piensas del universo,El universo es vasto y lleno de misterios que aún no comprendemos
dime una curiosidad,Los flamencos son rosas porque comen camarones que contienen un pigmento llamado canthaxantina
cuentame una historia corta,Había una vez un niño que soñaba con volar y un día construyó un ala delta y voló
que es la amistad,La amistad es un lazo de confianza y apoyo mutuo entre personas
dime algo sobre la naturaleza,Los árboles pueden comunicarse entre sí a través
bien,Me alegro!
me siento feliz,¡Eso es fantástico! ¿Qué ha hecho tu día tan feliz?
estoy muy contento,¡Qué bien! Me alegra mucho escucharlo ¿Quieres compartir más?
me siento motivado,¡Eso es genial! La motivación nos lleva a lograr grandes cosas
estoy lleno de energía,¡Excelente! ¿Cómo planeas usar toda esa energía hoy?
me siento agradecido,¡Maravilloso! La gratitud nos ayuda a ver lo mejor de la vida
estoy entusiasmado,¡Eso suena genial! ¿Qué te tiene tan entusiasmado?
me siento positivo,¡Fantástico! Mantener una actitud positiva es muy beneficioso
estoy inspirado,¡Qué bueno! La inspiración nos impulsa a ser creativos
me siento optimista,¡Eso es increíble! El optimismo nos ayuda a enfrentar cualquier reto
estoy de buen humor,¡Genial! ¿Qué ha contribuido a tu buen humor hoy?
me siento afortunado,¡Maravilloso! Sentirse afortunado es una gran sensación
estoy disfrutando el día,¡Eso suena perfecto! ¿Qué parte del día estás disfrutando más?
me siento renovado,¡Qué bien! La renovación trae nuevas energías y perspectivas
estoy satisfecho,¡Eso es fantástico! La satisfacción es muy importante para el bienestar
me siento en paz,¡Eso es maravilloso! La paz interior es invaluable
estoy emocionado por el futuro,¡Eso es excelente! La emoción por el futuro abre muchas posibilidades
me siento fuerte,¡Qué bien! Sentirse fuerte es muy empoderador
estoy orgulloso de mí mismo,¡Eso es genial! Es importante reconocer nuestros logros
me siento pleno,¡Maravilloso! Sentirse pleno es una gran señal de equilibrio
estoy disfrutando el momento,¡Perfecto! Disfrutar el presente es fundamental para la felicidad
me siento relajado,¡Eso es genial! La relajación es esencial para una buena salud mental
estoy en armonía,¡Qué bien! La armonía crea un ambiente positivo
me siento en control,¡Eso es fantástico! Sentirse en control es muy empoderador
estoy disfrutando mi trabajo,¡Eso es genial! Disfrutar el trabajo es clave para la satisfacción personal
me siento equilibrado,¡Maravilloso! El equilibrio es fundamental para una vida saludable
estoy disfrutando mi tiempo libre,¡Perfecto! El tiempo libre bien aprovechado es muy valioso
me siento inspirado por los demás,¡Eso es increíble! Inspirarse en otros nos motiva a mejorar
estoy lleno de esperanza,¡Qué bien! La esperanza nos mantiene adelante
me siento animado,¡Eso es genial! Sentirse animado es muy positivo
estoy disfrutando de mis hobbies,¡Maravilloso! Los hobbies nos ayudan a relajarnos y disfrutar
me siento bendecido,¡Qué bien! Sentirse bendecido es muy gratificante
estoy aprovechando cada momento,¡Perfecto! Aprovechar cada momento es muy importante
me siento seguro,¡Eso es genial! La seguridad personal es muy importante
estoy disfrutando la compañía de otros,¡Eso es maravilloso! La buena compañía enriquece nuestras vidas
me siento lleno de amor,¡Qué bien! Sentirse amado es muy valioso
estoy agradecido por todo,¡Eso es fantástico! La gratitud es clave para la felicidad
me siento inspirado por la naturaleza,¡Maravilloso! La naturaleza nos inspira de muchas maneras
estoy disfrutando de la música,¡Perfecto! La música es muy relajante y motivadora
me siento optimista sobre el futuro,¡Eso es genial! El optimismo abre muchas oportunidades
estoy aprovechando las oportunidades,¡Eso es maravilloso! Aprovechar oportunidades es muy importante
me siento inspirado por mi trabajo,¡Qué bien! Sentirse inspirado en el trabajo es muy gratificante
estoy disfrutando la lectura,¡Maravilloso! La lectura nos transporta a nuevos mundos
me siento pleno y satisfecho,¡Eso es genial! La plenitud y la satisfacción son muy importantes
estoy disfrutando del ejercicio,¡Perfecto! El ejercicio es muy beneficioso para la salud
me siento afortunado de tener buenos amigos,¡Eso es maravilloso! Los buenos amigos son un tesoro
estoy agradecido por mi familia,¡Qué bien! La familia es un gran apoyo en nuestras vidas
me siento lleno de vida,¡Eso es fantástico! Sentirse lleno de vida es muy positivo
estoy disfrutando cada segundo,¡Maravilloso! Disfrutar cada segundo es fundamental para la felicidad
dame un consejo para ser feliz,Encuentra alegría en las pequeñas cosas y rodéate de personas positivas
que me recomiendas para tener éxito,Establece metas claras y trabaja con determinación para alcanzarlas
como puedo mejorar mi autoestima,Enfócate en tus logros y acepta tus imperfecciones
dame un consejo de vida,Vive cada día con gratitud y busca aprender algo nuevo
como puedo ser más positivo,Practica la gratitud y enfócate en lo bueno que tienes
que me recomiendas para reducir el estrés,Encuentra tiempo para relajarte y hacer actividades que disfrutes
como puedo manejar mis emociones,Habla sobre tus sentimientos y busca actividades que te ayuden a relajarte
dame un consejo para mejorar mis relaciones,Escucha activamente y comunica tus sentimientos con honestidad
como puedo ser más productivo,Organiza tu tiempo y establece prioridades claras
que me recomiendas para tener una vida equilibrada,Encuentra tiempo para el trabajo la familia y el descanso
como puedo encontrar mi propósito,Reflexiona sobre tus pasiones y lo que te hace sentir realizado
dame un consejo para ser más resiliente,Aprende de tus experiencias y mantén una actitud positiva
como puedo ser más compasivo,Practica la empatía y trata de entender las perspectivas de los demás
que me recomiendas para manejar el fracaso,Aprende de tus errores y sigue adelante con determinación
como puedo ser más disciplinado,Establece rutinas y mantén un enfoque constante en tus objetivos
dame un consejo para mejorar mi bienestar,Encuentra tiempo para el ejercicio la meditación y la relajación
como puedo ser más creativo,Explora nuevas experiencias y permite que tu mente divague
que me recomiendas para tener más confianza,Enfócate en tus fortalezas y recuerda tus logros
como puedo ser más flexible,Aprende a adaptarte a los cambios y busca oportunidades en ellos
dame un consejo para ser más generoso,Practica la gratitud y encuentra maneras de ayudar a los demás
como puedo mejorar mi comunicación,Escucha activamente y expresa tus pensamientos de manera clara
que me recomiendas para tener más energía,Mantén una dieta saludable y duerme lo suficiente
como puedo ser más agradecido,Haz una lista diaria de cosas por las que estás agradecido
dame un consejo para tener éxito en el trabajo,Sé proactivo y busca oportunidades para aprender y crecer
como puedo ser más empático,Escucha con atención y trata de entender los sentimientos de los demás
que me recomiendas para manejar mejor mi tiempo,Establece prioridades y evita la procrastinación
como puedo tener una mejor vida social,Participa en actividades que disfrutes y conoce nuevas personas
dame un consejo para mejorar mi salud mental,Habla sobre tus sentimientos y busca apoyo cuando lo necesites
como puedo ser más resiliente,Adáptate a los cambios y mantén una actitud positiva
que me recomiendas para ser más feliz,Encuentra tiempo para hacer lo que amas y rodéate de personas positivas
como puedo tener más éxito,Trabaja duro mantente enfocado y aprende de tus errores
dame un consejo para mejorar mi bienestar emocional,Encuentra actividades que te relajen y hablen sobre tus sentimientos
como puedo ser más paciente,Practica la atención plena y aprende a aceptar el momento presente
que me recomiendas para mejorar mi autoestima,Enfócate en tus logros y acepta tus imperfecciones
como puedo tener más confianza en mí mismo,Reconoce tus fortalezas y celebra tus logros
dame un consejo para mejorar mi vida,Establece metas claras y trabaja consistentemente hacia ellas
como puedo ser más optimista,Enfócate en los aspectos positivos de cada situación
que me recomiendas para tener una vida más equilibrada,Encuentra tiempo para el trabajo la familia y el ocio
como puedo mejorar mis habilidades de liderazgo,Comunica claramente y muestra empatía hacia tu equipo
dame un consejo para ser más disciplinado,Establece rutinas y mantén un enfoque constante en tus objetivos
como puedo tener una vida más significativa,Encuentra tu propósito y trabaja hacia tus metas
que me recomiendas para manejar el estrés,Practica la respiración profunda y el ejercicio regularmente
como puedo ser más organizado,Mantén un entorno de trabajo limpio y utiliza listas de tareas
dame un consejo para mejorar mi salud,Mantén una dieta equilibrada y haz ejercicio regularmente
como puedo tener más claridad mental,Dedica tiempo a la reflexión y establece metas claras
que me recomiendas para ser más perseverante,Mantén la motivación y trabaja constantemente hacia tus objetivos
como puedo mejorar mi autocontrol,Practica la autorregulación y establece límites claros
dame un consejo para ser más generoso,Encuentra maneras de ayudar a los demás y practica la gratitud
"que libro me recomiendas,Te recomiendo leer ""Cien años de soledad"" de Gabriel García Márquez ¡Es una obra maestra!"
"que pelicula me recomiendas,Te sugiero ver ""La vida es bella"" ¡Es una película conmovedora!"
"que serie me recomiendas,Te recomiendo ""Stranger Things"" ¡Es muy emocionante!"
que musica me recomiendas,Te sugiero escuchar a Coldplay ¡Su música es inspiradora!
que lugar me recomiendas visitar,Te recomiendo visitar Machu Picchu ¡Es un lugar impresionante!
que actividad me recomiendas hacer,Te sugiero probar la meditación ¡Es muy relajante!
que deporte me recomiendas practicar,Te recomiendo practicar yoga ¡Es bueno para el cuerpo y la mente!
que hobby me recomiendas,Te sugiero intentar la jardinería ¡Es muy terapéutica!
que comida me recomiendas,Te recomiendo probar la comida italiana ¡Es deliciosa!
"que juego me recomiendas,Te sugiero jugar ""The Legend of Zelda"" ¡Es muy entretenido!"
"que podcast me recomiendas,Te recomiendo ""TED Talks Daily"" ¡Es muy educativo!"
"que documental me recomiendas,Te sugiero ver ""Our Planet"" ¡Es visualmente impresionante!"
"que libro de autoayuda me recomiendas,Te recomiendo ""Los secretos de la mente millonaria"" ¡Es muy inspirador!"
que lugar historico me recomiendas visitar,Te sugiero visitar las pirámides de Egipto ¡Son fascinantes!
que destino de vacaciones me recomiendas,Te recomiendo las playas de Tailandia ¡Son paradisíacas!
que parque tematico me recomiendas,Te sugiero visitar Disneyland ¡Es muy divertido!
que lugar natural me recomiendas,Te recomiendo visitar el Parque Nacional de Yellowstone ¡Es impresionante!
"que obra de teatro me recomiendas,Te sugiero ver ""Hamilton"" ¡Es espectacular!"
que concierto me recomiendas,Te recomiendo asistir a un concierto de Adele ¡Es una experiencia única!
"que libro de ciencia ficcion me recomiendas,Te sugiero ""Dune"" de Frank Herbert ¡Es un clásico!"
"que novela romantica me recomiendas,Te recomiendo ""Orgullo y prejuicio"" de Jane Austen ¡Es una historia hermosa!"
"que libro de misterio me recomiendas,Te sugiero ""El código Da Vinci"" ¡Es muy intrigante!"
"que pelicula de comedia me recomiendas,Te recomiendo ""Superbad"" ¡Es muy divertida!"
"que pelicula de terror me recomiendas,Te sugiero ""El conjuro"" ¡Es espeluznante!"
"que serie de drama me recomiendas,Te recomiendo ""Breaking Bad"" ¡Es muy intensa!"
"que serie de ciencia ficcion me recomiendas,Te sugiero ""Black Mirror"" ¡Es muy interesante!"
"que cancion me recomiendas,Te recomiendo ""Imagine"" de John Lennon ¡Es muy inspiradora!"
que artista me recomiendas escuchar,Te sugiero escuchar a Ed Sheeran ¡Tiene canciones muy bonitas!
"que album me recomiendas,Te recomiendo ""Thriller"" de Michael Jackson ¡Es un clásico!"
que banda me recomiendas,Te sugiero escuchar a Queen ¡Son legendarios!
que app me recomiendas,Te recomiendo la app de Duolingo ¡Es genial para aprender idiomas!
que curso online me recomiendas,Te sugiero probar los cursos de Coursera ¡Son muy educativos!
que tecnologia me recomiendas probar,Te recomiendo probar la realidad virtual ¡Es fascinante!
que gadget me recomiendas,Te sugiero un smartwatch ¡Es muy útil!
que metodo de estudio me recomiendas,Te recomiendo el método Pomodoro ¡Es muy efectivo!
que estrategia de ahorro me recomiendas,Te sugiero hacer un presupuesto mensual ¡Es muy útil!
"que libro de finanzas me recomiendas,Te recomiendo ""Padre rico Padre pobre"" ¡Es muy educativo!"
que ejercicio me recomiendas,Te sugiero hacer cardio ¡Es muy bueno para la salud!
que dieta me recomiendas,Te recomiendo una dieta equilibrada con muchas frutas y verduras ¡Es muy saludable!
que tratamiento de belleza me recomiendas,Te sugiero probar una mascarilla facial ¡Es muy refrescante!
que rutina de cuidado personal me recomiendas,Te recomiendo una rutina que incluya limpieza hidratación y protección solar ¡Es esencial!
"que pelicula de accion me recomiendas,Te sugiero ""Mad Max: Fury Road"" ¡Es muy emocionante!"
"que pelicula animada me recomiendas,Te recomiendo ""Toy Story"" ¡Es muy divertida!"
"que libro de aventura me recomiendas,Te sugiero ""La isla del tesoro"" ¡Es muy emocionante!"
"que serie documental me recomiendas,Te recomiendo ""Planet Earth"" ¡Es impresionante!"
que museo me recomiendas visitar,Te sugiero el Museo del Louvre ¡Es increíble!
que monumento me recomiendas visitar,Te recomiendo la Torre Eiffel ¡Es icónica!
